epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.009999999776482582,2.99275541305542,1.3405286073684692,3.4584238529205322,1.362131953239441
1,0.009999999776482582,2.569915294647217,1.2859950065612793,2.8603713512420654,1.2515836954116821
2,0.009999999776482582,2.1020164489746094,1.1190755367279053,2.26776123046875,1.0922433137893677
3,0.009999999776482582,2.055819034576416,1.1486209630966187,2.1821184158325195,1.099323034286499
4,0.009999999776482582,2.0095467567443848,1.125663161277771,2.115262031555176,1.1304043531417847
5,0.009999999776482582,1.9535199403762817,1.1296162605285645,2.0930216312408447,1.0821881294250488
6,0.009999999776482582,1.9116095304489136,1.0902124643325806,2.1319377422332764,1.0634323358535767
7,0.009999999776482582,1.905674695968628,1.10885488986969,2.1104936599731445,1.1153607368469238
8,0.009999999776482582,1.945517897605896,1.117596983909607,2.15142560005188,1.0864837169647217
9,0.009999999776482582,1.9569863080978394,1.1063960790634155,2.0339195728302,1.0666661262512207
10,0.009999999776482582,1.8565394878387451,1.0821034908294678,2.055243730545044,1.0914555788040161
11,0.009999999776482582,1.8414264917373657,1.0900636911392212,2.054708957672119,1.082783579826355
12,0.009999999776482582,1.802728533744812,1.0721267461776733,2.104686975479126,1.1400175094604492
13,0.009999999776482582,1.9313894510269165,1.1160660982131958,2.105775833129883,1.1536611318588257
14,0.009999999776482582,1.790097951889038,1.0434386730194092,2.064846992492676,1.1153576374053955
15,0.009999999776482582,1.7036404609680176,1.028641700744629,2.1061527729034424,1.1385693550109863
16,0.009999999776482582,1.7408372163772583,1.0506551265716553,2.1563706398010254,1.1284064054489136
17,0.009999999776482582,1.7663675546646118,1.045574426651001,2.1459803581237793,1.089782476425171
18,0.004999999888241291,1.7543970346450806,1.0457638502120972,2.095604658126831,1.125540852546692
19,0.004999999888241291,1.768617868423462,1.0534155368804932,2.1263821125030518,1.1329896450042725
20,0.004999999888241291,1.738308310508728,1.0374188423156738,2.1058828830718994,1.1215475797653198
21,0.004999999888241291,1.7734466791152954,1.0415836572647095,2.0953469276428223,1.1148035526275635
22,0.004999999888241291,1.6558036804199219,1.0142314434051514,2.125776767730713,1.14382803440094
23,0.004999999888241291,1.7347708940505981,1.051183819770813,2.114069938659668,1.1323035955429077
24,0.004999999888241291,1.5814529657363892,0.9870913028717041,2.092958450317383,1.122475504875183
